method,instance_id,alpha_t,alpha_c,makespan_mean,makespan_std,cost_mean,cost_std,n_seeds,cid,makespan_norm,cost_norm,score,rank
HCMAGRL,M12_A9_R6_J3,0.75,0.25,675.6083333333333,59.00853033288309,782.7,252.54100240304908,20,C20,0.1444343769925166,0.11638447512373018,0.13742190152532,2.0
HCMAGRL,M12_A9_R6_J3,1.0,0.0,640.4416666666667,33.05468068526273,746.4,94.42535341962484,20,C20,0.0,0.0,0.0,1.0
HCMAGRL,M12_A9_R8_J4,0.0,1.0,1827.9416666666664,214.79618569445995,1148.6,192.05520039821886,20,C21,0.6075790368709901,0.13041509433962242,0.13041509433962242,3.0
HCMAGRL,M12_A9_R8_J4,0.25,0.75,1635.8416666666665,195.7075891559047,1096.55,194.76071013047348,20,C21,0.07014410897462539,0.053162236480293244,0.05740770460387628,2.0
HCMAGRL,M12_A9_R8_J4,0.5,0.5,1492.008333333333,198.18696851282652,988.5,227.62214765980738,20,C21,0.09508905621579111,0.051721223730914395,0.07340513997335275,2.0
HCMAGRL,M12_A9_R8_J4,0.75,0.25,1567.3083333333332,215.46170522422005,1158.5,259.2754073222242,20,C21,0.19363278171788822,0.026880975474574048,0.15194483015705967,3.0
HCMAGRL,M12_A9_R8_J4,1.0,0.0,1473.9083333333333,268.51468468561075,1231.6,183.21152572339636,20,C21,0.24988481722460085,0.1130071514550732,0.24988481722460085,3.0
HCMAGRL,M4_A3_R4_J2,0.0,1.0,976.8416666666668,21.314923182887586,233.3,68.27814630727678,20,C1,0.04804711717296967,0.08028088821408237,0.08028088821408237,2.0
HCMAGRL,M4_A3_R4_J2,0.25,0.75,933.4000000000002,12.702672739893737,245.8,77.0151044652247,20,C1,0.0,0.16547457954765132,0.12410593466073849,3.0
HCMAGRL,M4_A3_R4_J2,0.5,0.5,939.8333333333336,32.945152009600385,237.25,77.66247823959642,20,C1,0.043731778425657356,0.1185795814838301,0.08115567995474374,3.0
HCMAGRL,M4_A3_R4_J2,0.75,0.25,925.4833333333336,17.69295462252847,203.0,0.0,20,C1,0.0,0.0,0.0,1.0
HCMAGRL,M4_A3_R4_J2,1.0,0.0,941.7333333333333,24.888018207410468,221.9,42.18867396027417,20,C1,0.10162015438120245,0.07056188165017735,0.10162015438120245,3.0
HCMAGRL,M4_A3_R6_J3,0.0,1.0,2082.891666666667,148.28584174685423,314.1,105.07085328732377,20,C2,0.5520647437227663,0.13012847078325748,0.13012847078325748,3.0
HCMAGRL,M4_A3_R6_J3,0.25,0.75,1749.6666666666667,33.07041044171696,196.1,67.32708847191643,20,C2,0.0,0.15318127250900362,0.11488595438175273,2.0
HCMAGRL,M4_A3_R6_J3,0.5,0.5,1780.5416666666667,35.868541454621045,128.95,17.66493702224834,20,C2,0.15116320495920768,0.0,0.07558160247960384,2.0
HCMAGRL,M4_A3_R6_J3,0.75,0.25,1917.45,143.19348644894254,268.3,214.86767041477805,20,C2,0.4333164471462344,0.08385074076350896,0.3459500205505531,4.0
